Effect,store,PPGID,Estimate,StdErrPred,DF,tValue,Probt
LogPriceIndex,99869,147,-1.2622,0.7975,4838,-1.58,0.1135
DisplayOnly,99869,147,0,0.2677,4838,0.00,1.0000
LogSeason,99869,147,-0.00305,0.1118,4838,-0.03,0.9783
LogRegPrice,99872,147,0,,,,
LogPriceIndex,99872,147,-0.2245,0.7577,4838,-0.30,0.7670
DisplayOnly,99872,147,-0.1758,0.2420,4838,-0.73,0.4676
LogSeason,99872,147,0.004566,0.1123,4838,0.04,0.9676
LogRegPrice,113830,147,0,,,,
LogPriceIndex,113830,147,1.3112,0.7207,4838,1.82,0.0689
DisplayOnly,113830,147,0,0.2677,4838,0.00,1.0000
LogSeason,113830,147,-0.00047,0.1124,4838,-0.00,0.9967
LogRegPrice,113854,147,0,,,,
LogPriceIndex,113854,147,0,1.0847,4838,0.00,1.0000
DisplayOnly,113854,147,0,0.2677,4838,0.00,1.0000
LogSeason,113854,147,0.001056,0.1128,4838,0.01,0.9925
LogRegPrice,166514,147,0,,,,
LogPriceIndex,166514,147,2.0939,0.5458,4838,3.84,0.0001
DisplayOnly,166514,147,0.1341,0.1646,4838,0.81,0.4152
LogSeason,166514,147,-0.00114,0.1123,4838,-0.01,0.9919
LogRegPrice,166535,147,0,,,,
LogPriceIndex,166535,147,-0.2844,0.7531,4838,-0.38,0.7057
DisplayOnly,166535,147,-0.2805,0.2034,4838,-1.38,0.1679
LogSeason,166535,147,0.01532,0.1122,4838,0.14,0.8914
